job title,company,experience,salary,location,education,python,r,sql,excel,vba,powerbi,tableau,nosql,sas,git,matlab
Analyst - Risk Management II,AMERICAN EXPRESS,1 - 5 years,Not Disclosed,Gurgaon/GurugramView More,bachelor  master ,python,,sql,,,,,,,git,
Data Scientist - Product Supply Manager,P&G,2 - 3 years,Not Disclosed,BaddiView More,bachelor  master ,python,,,,,,,,,,
Principal Data Scientist,Bharatpe,5 - 8 years,Not Disclosed,Gurgaon/GurugramView More,bachelor  master ,python,,sql,,,,,,,,
Data Scientist,Tiger Analytics,3 - 5 years,Not Disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/BengaluruView More",bachelor  master ,python,r,sql,excel,,,,,,,
Data Scientist,Amakshar Technology,6 - 13 years,Not Disclosed,"Mumbai, Pune, Chennai, Bangalore/BengaluruView More",bachelor  master ,python,r,,,,,,,,,
Associate Director - Data Science,Saaki Argus And Averil Consulting,10 - 13 years,Not Disclosed,"Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)View More",bachelor ,python,,sql,,,,,,,,
Data Scientist-Junior,Talentify,0 - 5 years,"₹ 8,00,000 - 18,00,000 P.A.","Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCRView More",bachelor ,python,r,,,,,,,,,
Need Data Scientist Fresher,CRB Tech Solution,0 - 1 years,"₹ 1,75,000 - 4,00,000 P.A.","Hyderabad/Secunderabad, ChennaiView More",bachelor  master ,python,,sql,,,,,,,,
Data Scientist,Innominds Software,5 - 10 years,"₹ 10,00,000 - 20,00,000 P.A.","Hyderabad/Secunderabad, Pune, Bangalore/BengaluruView More",bachelor ,python,,,excel,,,,,,,
Lead - Data Science - KPO,Huquo Consulting Pvt. Ltd,3 - 8 years,Not Disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/BengaluruView More",bachelor  master  phd ,python,r,sql,excel,,,,,,,
Data Scientist,Megma Services,1 - 4 years,Not Disclosed,"Mumbai, Bangalore/BengaluruView More",bachelor  master  phd ,,,,,,,,,,,
Data Scientist,Megma Services,1 - 4 years,Not Disclosed,"Mumbai, Bangalore/BengaluruView More",bachelor  master  phd ,,,,,,,,,,,
Data Scientist - R/Python,Okda Solutions,4 - 7 years,Not Disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCRView More",bachelor  master  phd ,python,r,,excel,,,,,,,
Data Scientist,Navneet FutureTech Limited,4 - 8 years,Not Disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/BengaluruView More", master ,python,,,,,,,,,,
Data Scientist - BFS,Huquo Consulting,4 - 9 years,Not Disclosed,"Gurgaon/Gurugram, Bangalore/BengaluruView More",bachelor  master  phd ,python,,sql,,,,,,sas,,
Lead Data Scientist (Diversity Role),Emploi Consultancy,5 - 10 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master  phd ,python,,sql,,,,,,,,
Research Scientist - Machine Learning/Artificial Intelligence,Career Maker,3 - 8 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master  phd ,python,,,,,,,,,,
Senior Manager/Operations Research Scientist,Career Maker,5 - 10 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,r,sql,excel,,,,,,,matlab
Sr. Data Scientist,Technogen,5 - 7 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master  phd ,python,r,sql,excel,,,,,,git,
Data Scientist / Sr. Data Scientist,Fratitude Talent Advisors,7 - 9 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,r,,,,,,,,,
Lead Data Scientist,Zscaler Softech,7 - 10 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,,sql,excel,,,,,,,
Data Scientist,Nexthire Llp,2 - 6 years,"₹ 12,00,000 - 22,00,000 P.A.",Bangalore/BengaluruView More,bachelor ,python,,,,,,,,,,
AI/ML Engineer,JK Technosoft,2 - 3 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,,,,,,,,,,
Data Scientist,Quest Alliance,8 - 10 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,r,,excel,vba,,,,,,
Data Scientist / Decision Scientist,Maruti Suzuki,2 - 6 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,,sql,,,,,,,,
Data Science,Sonata Software,4 - 9 years,Not Disclosed,Bangalore/BengaluruView More,bachelor  master ,python,r,,excel,,,tableau,,,,
